,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
260,Srednekolymsk,RU,1570398914,67.46,153.71,11.51,87,0,5.84
261,Katherine,AU,1570398889,-14.47,132.26,71.6,53,0,3.89
262,Ambanja,MG,1570398915,-13.68,48.45,79.03,74,99,2.89
263,Bonavista,CA,1570398915,48.65,-53.11,42.01,76,33,3.0
264,Agua Dulce,MX,1570398915,18.14,-94.15,84.2,74,90,17.22
265,High Level,CA,1570398915,58.52,-117.13,53.6,50,75,10.29
266,Homer,US,1570398916,59.64,-151.54,48.0,56,1,19.46
267,Nioro,GM,1570398916,13.79,-15.05,83.89,67,70,15.05
268,Tiksi,RU,1570398917,71.64,128.87,21.08,94,94,4.14
269,Alofi,NU,1570398917,-19.06,-169.92,77.0,61,100,14.99
270,Dingle,PH,1570398917,11.0,122.67,74.47,92,49,7.11
271,Daura,NG,1570398918,13.04,8.32,86.48,47,64,3.6
272,Kahului,US,1570398623,20.89,-156.47,86.0,58,20,11.41
273,Shingu,JP,1570398918,33.72,135.99,55.84,87,0,5.14
274,Faya,SA,1570398395,18.39,42.45,66.2,88,0,3.09
275,Hokitika,NZ,1570398919,-42.72,170.96,50.8,73,100,4.99
276,Batken,KG,1570398919,40.06,70.82,50.05,51,0,1.66
277,Arlit,NE,1570398380,18.74,7.39,96.72,12,36,14.03
278,Antofagasta,CL,1570398920,-23.65,-70.4,59.0,72,75,9.17
279,Rawson,AR,1570398920,-43.3,-65.11,73.4,25,75,23.04
280,Clyde River,CA,1570398208,70.47,-68.59,28.4,74,40,6.93
281,Narbonne,FR,1570398921,43.18,3.0,64.4,48,0,14.99
282,Abbeville,FR,1570398921,50.11,1.83,59.0,77,90,24.16
283,Ucluelet,CA,1570398870,48.94,-125.55,55.99,87,90,5.82
284,Praia,BR,1570398883,-20.25,-43.81,78.8,47,0,14.99
285,Green River,US,1570398922,41.53,-109.47,57.0,25,1,10.29
286,Madang,CN,1570398922,35.32,102.79,34.12,95,100,1.59
287,Novoasbest,RU,1570398923,57.74,60.29,43.58,75,84,3.76
288,Humaita,AR,1570398923,-24.93,-65.37,73.4,33,20,14.99
289,Zharkent,KZ,1570398924,44.17,80.0,44.59,57,16,3.18
290,Touros,BR,1570398486,-5.2,-35.46,77.0,78,20,11.41
291,Jeremie,HT,1570398924,18.65,-74.12,84.28,67,34,6.62
292,Saint-Joseph,FR,1570398925,43.56,6.97,69.01,87,0,3.36
293,Sangar,RU,1570398542,63.92,127.47,28.57,62,98,11.86
294,Lagoa,PT,1570398351,37.14,-8.45,71.01,64,0,8.05
295,Minab,IR,1570398926,27.15,57.07,82.4,83,40,4.7
296,Biak,ID,1570398926,-0.91,122.88,62.84,97,98,4.12
297,Dekar,BW,1570398926,-21.53,21.93,73.34,17,0,8.84
298,Ciudad Bolivar,VE,1570398926,8.12,-63.55,91.32,52,26,6.87
299,Civita Castellana,IT,1570398927,42.3,12.41,64.99,93,0,3.36
300,San Francisco,CO,1570398396,1.17,-76.88,68.0,68,40,9.17
301,Westport,US,1570398927,41.14,-73.36,70.0,77,90,16.11
302,Codrington,AU,1570398928,-28.95,153.24,71.01,93,1,6.93
303,Tazovskiy,RU,1570398267,67.47,78.7,34.12,80,17,21.97
304,Chulym,RU,1570398929,55.09,80.97,49.99,81,0,3.85
305,Kinloss,GB,1570398929,57.63,-3.57,52.0,81,20,6.93
306,Camacha,PT,1570398631,33.08,-16.33,73.4,78,75,8.05
307,Linjiang,CN,1570398760,41.81,126.91,38.54,94,100,2.55
308,Marawi,PH,1570398322,8.0,124.29,69.41,92,31,2.57
309,Saint Anthony,US,1570398477,43.97,-111.68,55.0,39,1,6.93
310,Riyadh,SA,1570398739,24.63,46.72,86.0,30,0,2.24
311,Wukari,NG,1570398931,7.87,9.78,75.53,90,100,4.21
312,Osa,RU,1570398931,57.28,55.46,45.02,71,100,7.14
313,Mons,BE,1570398796,50.45,3.95,57.0,93,75,6.93
314,Malindi,KE,1570398932,-3.22,40.12,74.06,88,22,6.8
315,Jatai,IN,1570398933,28.97,76.18,75.39,48,77,5.28
316,Gemena,CD,1570398933,3.25,19.78,71.14,89,30,1.28
317,Tsabong,BW,1570398791,-26.02,22.4,80.59,26,100,15.99
318,San Vicente,EC,1570398486,-0.59,-80.41,75.2,83,40,11.41
319,Betong,MY,1570398934,5.77,101.07,68.21,96,64,1.52
320,Cherskiy,RU,1570398934,68.75,161.3,15.16,84,0,5.93
321,Jiazi,CN,1570398935,19.61,110.49,75.2,100,75,6.71
322,Novochernorechenskiy,RU,1570398935,56.27,91.08,50.17,93,99,6.8
323,Buchanan,LR,1570398795,5.88,-10.05,77.0,94,75,11.95
324,Juneau,US,1570398936,58.3,-134.42,48.2,81,90,10.29
325,Namatanai,PG,1570398696,-3.66,152.44,79.12,86,95,11.23
326,Beeville,US,1570398936,28.4,-97.75,97.0,41,0,5.01
327,Mankera,NG,1570398937,13.01,5.07,82.27,66,17,10.2
328,Lae,PG,1570398937,-6.72,146.98,75.2,88,90,0.49
329,Grand Gaube,MU,1570398937,-20.01,57.66,73.99,78,20,12.75
330,Dali,CN,1570398780,34.79,109.94,49.72,92,55,3.02
331,College,US,1570398406,64.86,-147.8,35.6,86,90,5.82
332,Lompoc,US,1570398938,34.64,-120.46,91.99,17,1,13.87
333,Avarua,CK,1570398877,-21.21,-159.78,71.6,53,100,8.05
334,Bolshevik,BY,1570398939,54.01,27.57,33.8,86,75,2.24
335,Caravelas,BR,1570398765,-17.73,-39.27,75.61,80,0,11.95
336,Kodinar,IN,1570398939,20.79,70.7,75.23,86,0,7.81
337,Papetoai,PF,1570398940,-17.5,-149.87,82.4,69,75,9.17
338,Rio Grande,BR,1570398494,-32.03,-52.1,62.6,77,20,10.29
339,Roald,NO,1570398757,62.58,6.12,39.99,47,0,1.12
340,Dunedin,NZ,1570398941,-45.87,170.5,45.71,74,64,2.39
341,Ponta Delgada,PT,1570398204,37.73,-25.67,73.4,94,75,12.75
342,Ossora,RU,1570398941,59.24,163.07,38.9,99,100,10.56
343,Bilma,NE,1570398942,18.69,12.92,86.77,41,39,10.71
344,Jackville,CI,1570398942,5.21,-4.42,78.8,88,20,6.93
345,Chulman,RU,1570398943,56.84,124.9,30.82,98,100,4.74
346,Kurtalan,TR,1570398943,37.93,41.7,60.8,87,0,6.93
347,Mishan,CN,1570398943,45.55,131.88,37.32,69,0,4.63
348,Saint-Georges,CA,1570398829,46.12,-70.67,54.0,100,100,5.01
349,Fortuna,US,1570398944,40.6,-124.16,82.99,46,1,12.75
350,Cheremnoye,RU,1570398944,53.17,83.21,53.6,58,0,4.47
351,Russell,US,1570398945,38.9,-98.86,66.99,42,75,13.87
352,Abu Samrah,SY,1570398945,35.3,37.18,62.16,90,0,5.1
353,Kirakira,SB,1570398946,-10.46,161.92,80.45,83,45,13.13
354,Guerrero Negro,MX,1570398946,27.97,-114.04,71.05,75,0,10.85
355,Kieta,PG,1570398946,-6.22,155.63,80.97,75,94,5.19
356,Bathsheba,BB,1570398136,13.22,-59.52,86.0,70,75,16.11
357,Lavrentiya,RU,1570398898,65.58,-170.99,28.16,90,60,5.23
358,Kisangani,CD,1570398377,0.52,25.21,70.93,94,69,1.14
359,Lakes Entrance,AU,1570398835,-37.88,147.99,57.0,78,68,1.01
360,Tezu,IN,1570398947,27.93,96.16,71.07,77,86,3.18
361,Palu,ID,1570398781,-0.9,119.87,73.16,90,10,3.42
362,Dalby,AU,1570398948,-27.18,151.26,69.8,60,0,4.7
363,Bethel,US,1570398816,60.79,-161.76,42.8,75,75,9.17
364,Haines Junction,CA,1570398469,60.75,-137.51,25.58,77,100,5.82
365,Lorengau,PG,1570398949,-2.02,147.27,80.36,80,100,6.6
366,Avera,US,1570398507,33.19,-82.53,86.0,48,75,5.82
367,Oussouye,SN,1570398949,12.49,-16.54,84.2,83,20,4.7
368,Petropavlovsk-Kamchatskiy,RU,1570398950,53.05,158.65,42.8,52,40,20.13
369,Laguna,BZ,1570398950,16.17,-88.94,91.4,55,40,4.7
370,Kangasala,FI,1570398950,61.46,24.07,37.99,93,90,2.24
371,Benjamin Constant,BR,1570398951,-4.38,-70.03,91.4,52,20,5.82
372,Shirokiy,RU,1570398429,53.87,39.17,34.0,100,100,4.0
373,Losevo,RU,1570398951,51.73,38.83,37.4,86,90,11.18
374,Parrita,CR,1570398787,9.52,-84.33,75.2,83,75,5.82
375,Khuzhir,RU,1570398952,53.19,107.35,23.32,97,91,7.18
376,Vao,EE,1570398952,59.1,26.19,38.13,81,100,3.02
377,Usvyaty,RU,1570398952,55.75,30.75,29.09,95,12,4.07
378,Almaznyy,RU,1570398422,48.03,40.04,48.2,70,40,8.95
379,Ulladulla,AU,1570398953,-35.36,150.48,62.01,82,100,4.7
380,Anadyr,RU,1570398803,64.73,177.51,30.2,80,0,13.42
381,Khash,IR,1570398954,28.22,61.21,60.2,60,0,4.5
382,Namibe,AO,1570398212,-15.19,12.15,67.6,76,26,3.15
383,Oldenburg,DE,1570398957,53.14,8.21,46.0,81,0,10.29
384,Hibbing,US,1570398958,47.43,-92.94,53.01,87,75,6.93
385,Esperance,AU,1570398908,-33.86,121.89,46.4,100,75,6.93
386,Redlands,US,1570398958,34.06,-117.19,96.8,7,1,4.7
387,Mandali,IQ,1570398962,33.75,45.55,73.16,26,8,1.61
388,Martapura,ID,1570398962,-3.41,114.85,77.96,84,100,7.14
389,Mandan,US,1570398467,46.83,-100.89,62.6,41,20,33.33
390,Sciacca,IT,1570398963,37.51,13.08,69.8,88,20,6.93
391,Krugersdorp,ZA,1570398963,-26.1,27.78,72.0,36,0,4.94
392,Nador,MA,1570398964,35.17,-2.93,66.2,59,0,4.7
393,Rodrigues Alves,BR,1570398964,-7.74,-72.65,75.2,94,75,3.36
394,Stettler,CA,1570398965,52.32,-112.71,59.0,38,0,7.0
395,Bilibino,RU,1570398426,68.06,166.44,6.7,78,33,3.31
396,Komsomolskiy,RU,1570398965,67.55,63.78,32.75,87,99,20.56
397,Pacific Grove,US,1570398369,36.62,-121.92,91.0,18,1,4.7
398,Vysokogornyy,RU,1570398966,50.1,139.13,31.54,79,65,4.72
399,Tromso,NO,1570398966,69.65,18.96,41.0,80,75,32.21
400,Saint-Augustin,CA,1570398967,45.63,-73.98,60.01,77,90,3.36
401,Iqaluit,CA,1570398948,63.75,-68.52,37.4,86,75,10.29
402,Amga,RU,1570398967,60.89,131.98,25.6,77,100,7.43
403,Masyaf,SY,1570398968,35.06,36.34,77.0,69,40,13.87
404,Kamyshin,RU,1570398968,50.08,45.4,57.91,81,100,4.61
405,Terra Santa,BR,1570398968,-2.1,-56.49,93.5,37,88,4.52
406,Monrovia,LR,1570398969,6.33,-10.8,77.0,94,75,8.21
407,Havoysund,NO,1570398969,71.0,24.66,41.0,80,75,26.4
408,Lisala,CD,1570398970,2.15,21.52,71.66,94,99,0.92
409,Smolensk,RU,1570398970,54.79,32.05,29.38,92,72,4.9
410,Angoram,PG,1570398971,-4.06,144.07,73.73,95,79,2.06
411,Pomabamba,PE,1570398971,-8.82,-77.46,47.53,74,83,8.23
412,Baghdad,IQ,1570398971,33.3,44.38,78.8,39,0,2.24
413,Isla Mujeres,MX,1570398451,21.23,-86.73,75.2,100,90,3.36
414,Hailar,CN,1570398972,49.2,119.7,34.75,95,100,13.44
415,Grootfontein,NA,1570398972,-19.56,18.1,72.87,31,51,15.46
416,Alcacer do Sal,PT,1570398973,38.37,-8.51,69.8,82,0,8.05
417,Dolinsk,RU,1570398973,47.32,142.8,30.2,100,0,5.26
418,Ilulissat,GL,1570398974,69.22,-51.1,35.6,80,100,10.29
419,Colwyn Bay,GB,1570398769,53.29,-3.71,55.4,87,73,4.7
420,Xinyang,CN,1570398974,32.13,114.07,52.44,93,100,7.61
421,Xinmin,CN,1570398975,42.0,122.83,39.2,100,33,4.47
422,Marshfield,US,1570398975,42.09,-70.71,64.99,77,1,8.05
423,Beringovskiy,RU,1570398975,63.05,179.32,32.03,74,100,12.75
424,Tautira,PF,1570398976,-17.73,-149.15,82.4,69,75,9.17
425,Opuwo,NA,1570398976,-18.06,13.84,66.79,31,36,4.16
426,Boyuibe,BO,1570398977,-20.43,-63.28,66.2,68,90,6.46
427,Oudtshoorn,ZA,1570398977,-33.59,22.2,59.0,87,29,5.82
428,Conceicao do Araguaia,BR,1570398948,-8.26,-49.26,85.2,56,25,6.46
429,Micheweni,TZ,1570398446,-4.97,39.83,78.14,79,2,8.37
430,Silifke,TR,1570398978,36.38,33.93,62.77,45,0,4.74
431,Dalhousie,CA,1570398979,48.06,-66.37,57.2,69,1,6.93
432,Alice Springs,AU,1570398523,-23.7,133.88,68.0,30,0,4.7
433,Sal Rei,CV,1570398979,16.18,-22.92,78.8,78,40,10.29
434,Bambanglipuro,ID,1570398980,-7.95,110.28,75.8,86,93,5.37
435,Dawei,MM,1570398980,14.07,98.19,79.55,78,100,8.01
436,Beian,NO,1570398981,63.66,9.57,46.0,86,75,2.24
437,General Roca,AR,1570398981,-39.03,-67.58,73.4,18,75,21.92
438,Maumere,ID,1570398982,-8.63,122.22,73.03,64,0,3.36
439,Khotynets,RU,1570398982,53.13,35.4,32.37,89,51,7.0
440,Sao Joao da Barra,BR,1570398535,-21.64,-41.05,75.2,83,40,18.34
441,Ongole,IN,1570398983,15.51,80.05,80.36,81,0,3.02
442,Burghausen,DE,1570398983,48.17,12.83,46.99,99,100,12.95
443,Borzya,RU,1570398984,50.39,116.53,33.25,59,72,11.32
444,Aksarka,RU,1570398985,66.56,67.8,32.3,81,2,19.95
445,Lasa,CY,1570398985,34.92,32.53,73.4,73,20,4.7
446,Ixtapa,MX,1570398430,20.71,-105.21,89.01,74,75,11.41
447,Tandil,AR,1570398986,-37.33,-59.14,66.99,36,86,8.01
448,Mahibadhoo,MV,1570398986,3.78,72.97,82.57,71,100,10.16
449,Beloha,MG,1570398986,-25.17,45.06,73.18,67,0,12.66
450,Daru,PG,1570398919,-9.07,143.21,75.46,93,100,8.59
451,Karratha,AU,1570398987,-20.74,116.85,82.41,15,0,18.75
452,Assiniboia,CA,1570398987,49.63,-105.99,56.26,39,0,21.85
453,Bulgan,MN,1570398988,48.81,103.53,31.04,93,93,5.01
454,Hammerfest,NO,1570398988,70.66,23.68,41.0,80,75,26.4
455,Maholi,IN,1570398988,27.65,80.48,75.19,50,8,2.59
456,Hasaki,JP,1570398989,35.73,140.83,64.4,88,75,9.17
457,Kostomuksha,RU,1570398989,64.59,30.6,35.45,98,100,3.4
458,Saint-Pierre,FR,1570398990,48.95,4.24,54.0,87,65,13.87
459,Saldanha,PT,1570398990,41.42,-6.55,62.68,48,88,4.16
460,Yaan,NG,1570398990,7.38,8.57,74.42,95,95,5.73
461,Union,US,1570398991,40.7,-74.26,71.6,68,90,9.28
462,Henties Bay,NA,1570398488,-22.12,14.28,63.0,87,0,5.99
463,Vestmannaeyjar,IS,1570398991,63.44,-20.27,49.25,90,97,21.45
464,Mount Isa,AU,1570398992,-20.73,139.49,64.4,25,58,11.97
465,Loiza,PR,1570398978,18.43,-65.88,87.01,70,40,11.41
466,Pitea,SE,1570398480,65.32,21.48,41.0,75,0,9.17
467,Santa Isabel do Rio Negro,BR,1570398904,-0.41,-65.02,90.58,55,88,1.39
468,Vangaindrano,MG,1570398474,-23.35,47.6,65.72,93,4,1.19
469,Pangai,TO,1570398993,-19.8,-174.35,75.2,69,75,8.05
470,Cavalcante,BR,1570398994,-13.79,-47.46,73.95,62,100,0.74
471,Grimma,DE,1570398994,51.24,12.73,46.99,81,100,6.93
472,Olinda,AU,1570398994,-37.84,145.39,55.99,58,75,13.87
473,Araouane,ML,1570398195,18.9,-3.53,92.22,11,0,3.6
474,Etla,MX,1570398995,17.21,-96.8,80.6,42,75,3.36
475,Eyl,SO,1570398995,7.98,49.82,79.39,71,100,18.45
476,La Ronge,CA,1570398996,55.1,-105.3,53.6,46,75,17.22
477,Port Augusta,AU,1570398830,-32.49,137.76,59.0,77,94,8.05
478,Myre,SE,1570398996,62.25,17.37,39.99,74,75,10.29
479,Mpanda,BI,1570398997,-3.17,29.4,65.29,73,64,2.57
480,Sandakan,MY,1570398997,5.84,118.12,77.0,94,75,3.36
481,Itatiaia,BR,1570398998,-22.5,-44.56,64.27,98,77,0.49
482,Goya,AR,1570398998,-29.14,-59.27,69.99,55,0,6.2
483,Vila Velha,BR,1570398912,-3.71,-38.6,80.6,69,0,10.29
484,Las Cruces,CL,1570398999,-33.5,-71.62,77.0,63,0,13.87
485,Tagusao,PH,1570398999,9.19,117.81,80.16,76,6,3.67
486,Ostrovnoy,RU,1570399000,68.05,39.51,30.23,94,84,11.88
487,Tessalit,ML,1570398449,20.2,1.01,93.43,18,96,4.76
488,Aksu,KZ,1570399001,52.04,76.93,42.8,87,0,6.71
489,Chitral,PK,1570399001,35.85,71.79,28.16,83,98,1.59
490,San Julian,PH,1570399001,11.75,125.45,71.45,98,14,2.37
491,Husavik,CA,1570399002,50.56,-96.99,55.0,72,100,5.99
492,Skibbereen,IE,1570399002,51.55,-9.27,50.0,100,75,13.87
493,Whitehorse,CA,1570399006,60.72,-135.06,30.0,86,90,9.17
494,Tupelo,US,1570399006,34.26,-88.7,87.8,52,40,4.7
495,Shache,CN,1570399006,38.42,77.24,59.75,44,100,8.61
496,Solnechnyy,RU,1570399007,50.72,136.64,42.49,72,100,4.79
497,Takoradi,GH,1570399008,4.89,-1.75,73.9,94,41,3.2
498,Dakar,SN,1570398785,14.69,-17.45,84.2,88,7,6.93
499,Talnakh,RU,1570398915,69.49,88.39,32.0,92,75,17.9
500,Keningau,MY,1570399008,5.33,116.16,77.0,94,75,5.82
501,Xichang,CN,1570399009,27.88,102.25,50.57,96,24,1.92
502,Ayia Galini,GR,1570399010,35.1,24.68,73.4,82,20,5.82
503,Aykhal,RU,1570399010,65.95,111.51,21.2,92,90,8.95
504,Adeje,NG,1570399011,5.68,5.76,77.59,87,100,6.76
505,Pingdingshan,CN,1570399011,33.74,113.3,51.09,87,90,4.29
506,Celestun,MX,1570399012,20.87,-90.4,83.6,71,33,8.7
507,Talcahuano,CL,1570399015,-36.72,-73.12,53.6,100,90,5.82
508,Wattegama,LK,1570399016,7.35,80.68,70.93,93,100,1.88
509,Mitsamiouli,KM,1570398972,-11.38,43.28,78.8,74,20,8.05
510,Dudinka,RU,1570399016,69.41,86.18,32.0,97,75,17.9
511,Taupo,NZ,1570398915,-38.68,176.08,57.99,71,81,1.01
512,Newport,GB,1570399017,51.59,-3.0,53.01,87,99,6.93
513,Monroe,US,1570399017,41.91,-83.4,69.8,37,1,8.05
514,Biu,NG,1570399021,10.61,12.19,71.5,88,12,4.52
515,Yerbogachen,RU,1570399022,61.28,108.01,29.08,85,64,8.37
516,Jalu,LY,1570399022,29.03,21.55,70.89,60,0,10.29
517,Khalkhal,IR,1570399023,37.62,48.53,49.85,38,0,5.44
518,Sanming,CN,1570399023,26.24,117.6,64.55,95,0,2.39
519,La Crosse,US,1570398906,43.8,-91.24,66.0,36,1,16.11
520,Kargopol,RU,1570399024,61.51,38.95,28.39,97,100,5.17
521,Vikhorevka,RU,1570399024,56.12,101.17,30.2,86,100,4.47
522,Zemio,CF,1570399025,5.02,25.13,68.08,97,100,5.61
523,Gwadar,PK,1570398784,25.12,62.33,81.33,77,0,7.87
